PARTITION           NODELIST            CPUS                GRES                GRES_USED           MEMORY              
short               node478             12                  (null)              gpu:0               20000               
week                node479             12                  (null)              gpu:0               20000               
bluemoon*           node479             12                  (null)              gpu:0               20000               
short               node479             12                  (null)              gpu:0               20000               
week                node480             12                  (null)              gpu:0               20000               
bluemoon*           node480             12                  (null)              gpu:0               20000               
short               node480             12                  (null)              gpu:0               20000               
week                node481             12                  (null)              gpu:0               20000               
bluemoon*           node481             12                  (null)              gpu:0               20000               
short               node481             12                  (null)              gpu:0               20000               
week                node482             12                  (null)              gpu:0               20000               
bluemoon*           node482             12                  (null)              gpu:0               20000               
short               node482             12                  (null)              gpu:0               20000               
week                node483             12                  (null)              gpu:0               20000               
bluemoon*           node483             12                  (null)              gpu:0               20000               
short               node483             12                  (null)              gpu:0               20000               
week                node484             12                  (null)              gpu:0               20000               
bluemoon*           node484             12                  (null)              gpu:0               20000               
short               node484             12                  (null)              gpu:0               20000               
week                node485             12                  (null)              gpu:0               20000               
bluemoon*           node485             12                  (null)              gpu:0               20000               
short               node485             12                  (null)              gpu:0               20000               
week                node486             12                  (null)              gpu:0               20000               
bluemoon*           node486             12                  (null)              gpu:0               20000               
short               node486             12                  (null)              gpu:0               20000               
week                node487             12                  (null)              gpu:0               20000               
bluemoon*           node487             12                  (null)              gpu:0               20000               
short               node487             12                  (null)              gpu:0               20000               
week                node488             12                  (null)              gpu:0               20000               
bluemoon*           node488             12                  (null)              gpu:0               20000               
short               node488             12                  (null)              gpu:0               20000               
week                node489             12                  (null)              gpu:0               20000               
bluemoon*           node489             12                  (null)              gpu:0               20000               
short               node489             12                  (null)              gpu:0               20000               
week                node490             12                  (null)              gpu:0               20000               
bluemoon*           node490             12                  (null)              gpu:0               20000               
short               node490             12                  (null)              gpu:0               20000               
week                node491             12                  (null)              gpu:0               20000               
bluemoon*           node491             12                  (null)              gpu:0               20000               
short               node491             12                  (null)              gpu:0               20000               
week                node492             12                  (null)              gpu:0               20000               
bluemoon*           node492             12                  (null)              gpu:0               20000               
short               node492             12                  (null)              gpu:0               20000               
week                node493             12                  (null)              gpu:0               20000               
bluemoon*           node493             12                  (null)              gpu:0               20000               
short               node493             12                  (null)              gpu:0               20000               
week                node494             12                  (null)              gpu:0               20000               
bluemoon*           node494             12                  (null)              gpu:0               20000               
short               node494             12                  (null)              gpu:0               20000               
week                node495             12                  (null)              gpu:0               20000               
bluemoon*           node495             12                  (null)              gpu:0               20000               
short               node495             12                  (null)              gpu:0               20000               
week                node496             12                  (null)              gpu:0               20000               
bluemoon*           node496             12                  (null)              gpu:0               20000               
short               node496             12                  (null)              gpu:0               20000               
week                node497             12                  (null)              gpu:0               20000               
bluemoon*           node497             12                  (null)              gpu:0               20000               
short               node497             12                  (null)              gpu:0               20000               
week                node498             12                  (null)              gpu:0               20000               
bluemoon*           node498             12                  (null)              gpu:0               20000               
short               node498             12                  (null)              gpu:0               20000               
week                node499             12                  (null)              gpu:0               20000               
bluemoon*           node499             12                  (null)              gpu:0               20000               
short               node499             12                  (null)              gpu:0               20000               
bluemoon*           node500             12                  (null)              gpu:0               20000               
short               node500             12                  (null)              gpu:0               20000               
bluemoon*           node501             12                  (null)              gpu:0               20000               
short               node501             12                  (null)              gpu:0               20000               
bluemoon*           node502             12                  (null)              gpu:0               20000               
short               node502             12                  (null)              gpu:0               20000               
bluemoon*           node503             12                  (null)              gpu:0               20000               
short               node503             12                  (null)              gpu:0               20000               
bluemoon*           node504             12                  (null)              gpu:0               20000               
short               node504             12                  (null)              gpu:0               20000               
bluemoon*           node505             12                  (null)              gpu:0               20000               
short               node505             12                  (null)              gpu:0               20000               
bluemoon*           node506             12                  (null)              gpu:0               20000               
short               node506             12                  (null)              gpu:0               20000               
bluemoon*           node507             12                  (null)              gpu:0               20000               
short               node507             12                  (null)              gpu:0               20000               
bluemoon*           node508             12                  (null)              gpu:0               20000               
short               node508             12                  (null)              gpu:0               20000               
bluemoon*           node509             12                  (null)              gpu:0               20000               
short               node509             12                  (null)              gpu:0               20000               
week                node510             12                  (null)              gpu:0               20000               
bluemoon*           node510             12                  (null)              gpu:0               20000               
short               node510             12                  (null)              gpu:0               20000               
week                node511             12                  (null)              gpu:0               20000               
bluemoon*           node511             12                  (null)              gpu:0               20000               
short               node511             12                  (null)              gpu:0               20000               
week                node512             12                  (null)              gpu:0               20000               
bluemoon*           node512             12                  (null)              gpu:0               20000               
short               node512             12                  (null)              gpu:0               20000               
week                node513             12                  (null)              gpu:0               20000               
bluemoon*           node513             12                  (null)              gpu:0               20000               
short               node513             12                  (null)              gpu:0               20000               
week                node514             12                  (null)              gpu:0               20000               
bluemoon*           node514             12                  (null)              gpu:0               20000               
short               node514             12                  (null)              gpu:0               20000               
week                node515             12                  (null)              gpu:0               20000               
