JOBID               USER                PARTITION           NAME                TIME_LEFT           EXEC_HOST           TRES_PER_NODE       TRES_ALLOC          
3189578             nsnichol            bdgpu               dse_he              13:14:17            bd-gpunode05        N/A                 cpu=4,mem=16G,node=1
3189567             nsnichol            bdgpu               dse_he              12:53:56            bd-gpunode01        N/A                 cpu=4,mem=16G,node=1
3189568             nsnichol            bdgpu               dse_he              12:53:56            bd-gpunode01        N/A                 cpu=4,mem=16G,node=1
3189569             nsnichol            bdgpu               dse_he              12:53:56            bd-gpunode01        N/A                 cpu=4,mem=16G,node=1
3189570             nsnichol            bdgpu               dse_he              12:53:56            bd-gpunode01        N/A                 cpu=4,mem=16G,node=1
3189571             nsnichol            bdgpu               dse_he              12:53:56            bd-gpunode01        N/A                 cpu=4,mem=16G,node=1
3189572             nsnichol            bdgpu               dse_he              12:53:56            bd-gpunode01        N/A                 cpu=4,mem=16G,node=1
3189573             nsnichol            bdgpu               dse_he              12:53:56            bd-gpunode01        N/A                 cpu=4,mem=16G,node=1
3189574             nsnichol            bdgpu               dse_he              12:53:56            bd-gpunode01        N/A                 cpu=4,mem=16G,node=1
3189559             nsnichol            bdgpu               dse_he              12:53:41            bd-gpunode06        N/A                 cpu=4,mem=16G,node=1
3189560             nsnichol            bdgpu               dse_he              12:53:41            bd-gpunode06        N/A                 cpu=4,mem=16G,node=1
3189561             nsnichol            bdgpu               dse_he              12:53:41            bd-gpunode06        N/A                 cpu=4,mem=16G,node=1
3189562             nsnichol            bdgpu               dse_he              12:53:41            bd-gpunode06        N/A                 cpu=4,mem=16G,node=1
3189563             nsnichol            bdgpu               dse_he              12:53:41            bd-gpunode06        N/A                 cpu=4,mem=16G,node=1
3189564             nsnichol            bdgpu               dse_he              12:53:41            bd-gpunode06        N/A                 cpu=4,mem=16G,node=1
3189565             nsnichol            bdgpu               dse_he              12:53:41            bd-gpunode06        N/A                 cpu=4,mem=16G,node=1
3189566             nsnichol            bdgpu               dse_he              12:53:41            bd-gpunode06        N/A                 cpu=4,mem=16G,node=1
3189547             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode02        N/A                 cpu=4,mem=16G,node=1
3189548             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode02        N/A                 cpu=4,mem=16G,node=1
3189549             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode02        N/A                 cpu=4,mem=16G,node=1
3189550             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode05        N/A                 cpu=4,mem=16G,node=1
3189551             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode02        N/A                 cpu=4,mem=16G,node=1
3189552             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode05        N/A                 cpu=4,mem=16G,node=1
3189553             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode02        N/A                 cpu=4,mem=16G,node=1
3189554             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode05        N/A                 cpu=4,mem=16G,node=1
3189555             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode02        N/A                 cpu=4,mem=16G,node=1
3189556             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode05        N/A                 cpu=4,mem=16G,node=1
3189557             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode02        N/A                 cpu=4,mem=16G,node=1
3189558             nsnichol            bdgpu               dse_he              12:53:40            bd-gpunode05        N/A                 cpu=4,mem=16G,node=1
3189531             ydubief             ib                  covidkid            7:35:55             node104             N/A                 cpu=240,mem=480G,nod
3194956             talshaab            bigmem              n3l2021-06-03       1-01:59:35          shared5             N/A                 cpu=1,mem=160G,node=
3194955             talshaab            bigmem              n2l2021-06-03       20:59:31            shared3             N/A                 cpu=1,mem=96G,node=1
3194953             talshaab            bigmem              n1l2021-06-03       15:59:27            node257             N/A                 cpu=1,mem=40G,node=1
3195068             talshaab            bluemoon            n1a2021-06-03       2:59:55             node256             N/A                 cpu=1,mem=16G,node=1
3195488             talshaab            short               n22021-06-04        2:44:45             node256             N/A                 cpu=1,mem=8G,node=1,
3195487             talshaab            short               n12021-06-04        2:44:41             node209             N/A                 cpu=1,mem=8G,node=1,
3194147             sliu1               bluemoon            spider              19:39:30            node209             N/A                 cpu=1,mem=8G,node=1,
3195496             dmatthe1            bluemoon            GRAD_EVAL           11:55:25            node205             N/A                 cpu=12,mem=12000M,no
3195495             dmatthe1            bluemoon            GRAD_EVAL           11:54:37            node200             N/A                 cpu=12,mem=12000M,no
3195494             dmatthe1            bluemoon            GRAD_EVAL           11:54:31            node201             N/A                 cpu=12,mem=12000M,no
3195493             dmatthe1            bluemoon            GRAD_EVAL           11:54:28            node505             N/A                 cpu=12,mem=12000M,no
3195492             dmatthe1            bluemoon            GRAD_EVAL           11:49:15            node252             N/A                 cpu=12,mem=12000M,no
3195490             dmatthe1            bluemoon            GRAD_EVAL           11:46:26            node253             N/A                 cpu=12,mem=12000M,no
3195486             dmatthe1            bluemoon            GRAD_EVAL           11:44:04            node210             N/A                 cpu=12,mem=12000M,no
3195482             dmatthe1            bluemoon            GRAD_EVAL           11:41:32            node203             N/A                 cpu=12,mem=12000M,no
3195476             dmatthe1            bluemoon            GRAD_EVAL           11:40:04            node250             N/A                 cpu=12,mem=12000M,no
3195444             dmatthe1            bluemoon            GRAD_EVAL           11:35:25            node527             N/A                 cpu=12,mem=12000M,no
3195442             dmatthe1            bluemoon            GRAD_EVAL           11:35:05            node420             N/A                 cpu=12,mem=12000M,no
3195439             dmatthe1            bluemoon            GRAD_EVAL           11:34:18            node468             N/A                 cpu=12,mem=12000M,no
3195437             dmatthe1            bluemoon            GRAD_EVAL           11:33:46            node445             N/A                 cpu=12,mem=12000M,no
3195434             dmatthe1            bluemoon            GRAD_EVAL           11:32:29            node453             N/A                 cpu=12,mem=12000M,no
3195433             dmatthe1            bluemoon            GRAD_EVAL           11:32:02            node504             N/A                 cpu=12,mem=12000M,no
3195428             dmatthe1            bluemoon            GRAD_EVAL           11:29:18            node512             N/A                 cpu=12,mem=12000M,no
3195427             dmatthe1            bluemoon            GRAD_EVAL           11:28:51            node207             N/A                 cpu=12,mem=12000M,no
3195425             dmatthe1            bluemoon            GRAD_EVAL           11:28:17            node517             N/A                 cpu=12,mem=12000M,no
3195420             dmatthe1            bluemoon            GRAD_EVAL           11:26:16            node483             N/A                 cpu=12,mem=12000M,no
3195418             dmatthe1            bluemoon            GRAD_EVAL           11:26:01            node466             N/A                 cpu=12,mem=12000M,no
3195416             dmatthe1            bluemoon            GRAD_EVAL           11:25:41            node423             N/A                 cpu=12,mem=12000M,no
3195413             dmatthe1            bluemoon            GRAD_EVAL           11:24:59            node458             N/A                 cpu=12,mem=12000M,no
3195411             dmatthe1            bluemoon            GRAD_EVAL           11:24:15            node494             N/A                 cpu=12,mem=12000M,no
3195410             dmatthe1            bluemoon            GRAD_EVAL           11:24:13            node501             N/A                 cpu=12,mem=12000M,no
3195408             dmatthe1            bluemoon            GRAD_EVAL           11:23:31            node441             N/A                 cpu=12,mem=12000M,no
3195407             dmatthe1            bluemoon            GRAD_EVAL           11:23:26            node406             N/A                 cpu=12,mem=12000M,no
3195405             dmatthe1            bluemoon            GRAD_EVAL           11:23:14            node519             N/A                 cpu=12,mem=12000M,no
3195404             dmatthe1            bluemoon            GRAD_EVAL           11:23:09            node460             N/A                 cpu=12,mem=12000M,no
3195403             dmatthe1            bluemoon            GRAD_EVAL           11:21:43            node513             N/A                 cpu=12,mem=12000M,no
3195402             dmatthe1            bluemoon            GRAD_EVAL           11:21:21            node253             N/A                 cpu=12,mem=12000M,no
3195401             dmatthe1            bluemoon            GRAD_EVAL           11:20:11            node510             N/A                 cpu=12,mem=12000M,no
3195400             dmatthe1            bluemoon            GRAD_EVAL           11:20:07            node403             N/A                 cpu=12,mem=12000M,no
3195399             dmatthe1            bluemoon            GRAD_EVAL           11:19:28            node452             N/A                 cpu=12,mem=12000M,no
3195396             dmatthe1            bluemoon            GRAD_EVAL           11:19:06            node410             N/A                 cpu=12,mem=12000M,no
3195395             dmatthe1            bluemoon            GRAD_EVAL           11:18:57            node200             N/A                 cpu=12,mem=12000M,no
3195394             dmatthe1            bluemoon            GRAD_EVAL           11:17:49            node236             N/A                 cpu=12,mem=12000M,no
3195392             dmatthe1            bluemoon            GRAD_EVAL           11:17:09            node497             N/A                 cpu=12,mem=12000M,no
3195391             dmatthe1            bluemoon            GRAD_EVAL           11:16:59            node222             N/A                 cpu=12,mem=12000M,no
3195390             dmatthe1            bluemoon            GRAD_EVAL           11:16:49            node258             N/A                 cpu=12,mem=12000M,no
3195388             dmatthe1            bluemoon            GRAD_EVAL           11:16:04            node216             N/A                 cpu=12,mem=12000M,no
3195387             dmatthe1            bluemoon            GRAD_EVAL           11:15:59            node462             N/A                 cpu=12,mem=12000M,no
3195386             dmatthe1            bluemoon            GRAD_EVAL           11:15:44            node430             N/A                 cpu=12,mem=12000M,no
3195385             dmatthe1            bluemoon            GRAD_EVAL           11:15:24            node506             N/A                 cpu=12,mem=12000M,no
3195384             dmatthe1            bluemoon            GRAD_EVAL           11:15:18            node426             N/A                 cpu=12,mem=12000M,no
3195383             dmatthe1            bluemoon            GRAD_EVAL           11:14:39            node414             N/A                 cpu=12,mem=12000M,no
3195382             dmatthe1            bluemoon            GRAD_EVAL           11:13:45            node230             N/A                 cpu=12,mem=12000M,no
